category,attribute1,attribute2,word_overlap,string_similarity,combined_score
additionalAttributes,healthy,wealthy,0.0,0.86,0.86
aspirationsAndGoals,attend University of Michigan,attend university of michigan,1.0,1.0,2.0
aspirationsAndGoals,climb Mount Everest,climb mount everest,1.0,1.0,2.0
aspirationsAndGoals,move to Las Vegas,move to las vegas,1.0,1.0,2.0
aspirationsAndGoals,become a music teacher after retirement,become music teacher after retirement,0.83,0.97,1.81
aspirationsAndGoals,wants to live at beach,wants to live at the beach,0.83,0.92,1.75
aspirationsAndGoals,does not want a job,does not want job,0.8,0.94,1.74
aspirationsAndGoals,become a famous photographer,become famous photographer,0.75,0.96,1.71
aspirationsAndGoals,live life to the fullest,lives life to the fullest,0.67,0.98,1.65
aspirationsAndGoals,want to have voice heard,wants to have voice heard,0.67,0.98,1.65
aspirationsAndGoals,become professional basketball player,professional basketball player,0.75,0.9,1.65
aspirationsAndGoals,wants to have been born a prince,wishes to have been born a prince,0.75,0.89,1.64
aspirationsAndGoals,offered professional basketball player,professional basketball player,0.75,0.88,1.63
aspirationsAndGoals,create music video featuring Adam Levine,create music video starring Adam Levine,0.71,0.91,1.63
aspirationsAndGoals,do not want to work,does not want to work,0.67,0.95,1.62
aspirationsAndGoals,plan trip to Europe,trip to Europe,0.75,0.85,1.6
aspirationsAndGoals,become a mother,become mother,0.67,0.93,1.6
aspirationsAndGoals,experience interesting events daily,experiences interesting events daily,0.6,0.99,1.59
aspirationsAndGoals,wants to be alone,wants to be alone sometimes,0.8,0.77,1.57
aspirationsAndGoals,make straight A's,makes straight A's,0.6,0.97,1.57
aspirationsAndGoals,wants to learn another language,wants to speak another language,0.67,0.9,1.57
aspirationsAndGoals,pass cooking show audition,passed cooking show audition,0.6,0.96,1.56
aspirationsAndGoals,find a job,find job,0.67,0.89,1.56
aspirationsAndGoals,play in band,play in local band,0.75,0.8,1.55
aspirationsAndGoals,own house on the beach,wants to own house on the beach,0.71,0.83,1.54
aspirationsAndGoals,does not want a job,does not want to have a job,0.71,0.83,1.54
aspirationsAndGoals,attend University of Michigan,plans to attend University of Michigan,0.67,0.87,1.53
aspirationsAndGoals,attend university of michigan,plans to attend University of Michigan,0.67,0.87,1.53
aspirationsAndGoals,go to college,go to liberal college,0.75,0.76,1.51
aspirationsAndGoals,studying to be doctor,studying to become doctor,0.6,0.91,1.51
aspirationsAndGoals,move to London,wants to move to London,0.75,0.76,1.51
aspirationsAndGoals,planning trip to Europe,trip to Europe,0.75,0.76,1.51
aspirationsAndGoals,plan trip to Europe,planning trip to Europe,0.6,0.9,1.5
aspirationsAndGoals,wants to live in city,wants to live in space,0.67,0.84,1.5
aspirationsAndGoals,aspired to be architect,aspired to be architect as child,0.67,0.84,1.5
aspirationsAndGoals,play stock market well,wants to play stock market well,0.67,0.83,1.5
aspirationsAndGoals,wants to live in Iceland,wants to live in space,0.67,0.83,1.49
aspirationsAndGoals,become music teacher,become teacher,0.67,0.82,1.49
aspirationsAndGoals,start business,start small business,0.67,0.82,1.49
aspirationsAndGoals,become professional basketball player,become professional football player,0.6,0.89,1.49
aspirationsAndGoals,become professional basketball player,offered professional basketball player,0.6,0.88,1.48
aspirationsAndGoals,wants to move,wants to move to London,0.75,0.72,1.47
aspirationsAndGoals,wants to live in Iceland,wants to live in city,0.67,0.8,1.47
aspirationsAndGoals,wants to be alone,wants to be taller,0.6,0.86,1.46
aspirationsAndGoals,wants to be taller,wants to be tiger,0.6,0.86,1.46
aspirationsAndGoals,aspiring fiction writer,aspiring writer,0.67,0.79,1.46
aspirationsAndGoals,become English teacher,become teacher,0.67,0.78,1.44
aspirationsAndGoals,become actor,become famous actor,0.67,0.77,1.44
aspirationsAndGoals,plans to travel after retirement,travel after retirement,0.6,0.84,1.44
aspirationsAndGoals,play basketball,play basketball overseas,0.67,0.77,1.44
aspirationsAndGoals,become doctor,become medical doctor,0.67,0.76,1.43
aspirationsAndGoals,learn another language,wants to learn another language,0.6,0.83,1.43
aspirationsAndGoals,speak another language,wants to speak another language,0.6,0.83,1.43
aspirationsAndGoals,move out,move out soon,0.67,0.76,1.43
aspirationsAndGoals,won lottery,won lottery secret,0.67,0.76,1.43
aspirationsAndGoals,wants to have two children,wants two children,0.6,0.82,1.42
aspirationsAndGoals,visit United Kingdom,wants to visit United Kingdom,0.6,0.82,1.42
aspirationsAndGoals,travel to Europe,traveling to Europe,0.5,0.91,1.41
aspirationsAndGoals,wants to be alone,wants to be explorer,0.6,0.81,1.41
aspirationsAndGoals,become famous actor,become famous actress,0.5,0.9,1.4
aspirationsAndGoals,take partner on vacation,take wife on vacation,0.6,0.8,1.4
aspirationsAndGoals,wants to be alone,wants to be famous,0.6,0.8,1.4
aspirationsAndGoals,wants to become doctor,wants to become teacher,0.6,0.8,1.4
aspirationsAndGoals,wants to be alone,wants to be astronaut,0.6,0.79,1.39
aspirationsAndGoals,wants to be explorer,wants to be taller,0.6,0.79,1.39
aspirationsAndGoals,become author,become published author,0.67,0.72,1.39
aspirationsAndGoals,wants to be alone,wants to be cool,0.6,0.79,1.39
aspirationsAndGoals,wants to write in cursive,write in cursive,0.6,0.78,1.38
aspirationsAndGoals,wants to be desired,wants to be tiger,0.6,0.78,1.38
aspirationsAndGoals,live in Iceland,wants to live in Iceland,0.6,0.77,1.37
aspirationsAndGoals,wants to be desired,wants to be explorer,0.6,0.77,1.37
aspirationsAndGoals,studying to become doctor,wants to become doctor,0.6,0.77,1.37
aspirationsAndGoals,wants to be alone,wants to be tiger,0.6,0.76,1.36
aspirationsAndGoals,wants to be cool,wants to be famous,0.6,0.76,1.36
aspirationsAndGoals,wants to be cool,wants to be taller,0.6,0.76,1.36
aspirationsAndGoals,learn another language,speak another language,0.5,0.86,1.36
aspirationsAndGoals,attend University of Kentucky,attend University of Michigan,0.6,0.76,1.36
aspirationsAndGoals,attend University of Kentucky,attend university of michigan,0.6,0.76,1.36
aspirationsAndGoals,go to Mars,go to Paris,0.5,0.86,1.36
aspirationsAndGoals,wants to be desired,wants to be taller,0.6,0.76,1.36
aspirationsAndGoals,wants to be explorer,wants to be tiger,0.6,0.76,1.36
aspirationsAndGoals,wants to be famous,wants to be journalist,0.6,0.75,1.35
aspirationsAndGoals,does not want job,does not want to have a job,0.57,0.77,1.34
aspirationsAndGoals,looking for job,looking for love,0.5,0.84,1.34
aspirationsAndGoals,want to change,want to change the world,0.6,0.74,1.34
aspirationsAndGoals,wants to be astronaut,wants to be tiger,0.6,0.74,1.34
aspirationsAndGoals,wants to be cool,wants to be journalist,0.6,0.74,1.34
aspirationsAndGoals,wants to be tiger,wants to be veterinarian,0.6,0.73,1.33
aspirationsAndGoals,retire in Hawaii in 10 years,retire in hawaii,0.6,0.73,1.33
aspirationsAndGoals,wants to be cool,wants to be tiger,0.6,0.73,1.33
aspirationsAndGoals,wants to be alone,wants to be desired,0.6,0.72,1.32
aspirationsAndGoals,wants to be cool,wants to be explorer,0.6,0.72,1.32
aspirationsAndGoals,wants to be famous,wants to be taller,0.6,0.72,1.32
aspirationsAndGoals,grow small business,start small business,0.5,0.82,1.32
aspirationsAndGoals,wants to be alone,wants to be journalist,0.6,0.72,1.32
aspirationsAndGoals,wants to be astronaut,wants to be famous,0.6,0.72,1.32
aspirationsAndGoals,wants to be astronaut,wants to be taller,0.6,0.72,1.32
aspirationsAndGoals,wants to live in city,wants to live in fantasy world,0.57,0.75,1.32
aspirationsAndGoals,wants to be taller,wants to be veterinarian,0.6,0.71,1.31
aspirationsAndGoals,wants to live in Iceland,wants to live in fantasy world,0.57,0.74,1.31
aspirationsAndGoals,wants to be astronaut,wants to be veterinarian,0.6,0.71,1.31
aspirationsAndGoals,wants to be astronaut,wants to be cool,0.6,0.7,1.3
aspirationsAndGoals,wants to be desired,wants to be famous,0.6,0.7,1.3
aspirationsAndGoals,become music teacher,become music teacher after retirement,0.6,0.7,1.3
aspirationsAndGoals,heal the world,travel the world,0.5,0.8,1.3
aspirationsAndGoals,travel to Europe,trip to Europe,0.5,0.8,1.3
aspirationsAndGoals,wants to be astronaut,wants to be desired,0.6,0.7,1.3
aspirationsAndGoals,wants to be journalist,wants to be taller,0.6,0.7,1.3
aspirationsAndGoals,change lifestyle,wants lifestyle change,0.67,0.63,1.3
aspirationsAndGoals,wants to be astronaut,wants to be journalist,0.6,0.7,1.3
aspirationsAndGoals,wants to be desired,wants to be veterinarian,0.6,0.7,1.3
aspirationsAndGoals,wants to be journalist,wants to be veterinarian,0.6,0.7,1.3
aspirationsAndGoals,become federal court judge,work as federal court judge,0.5,0.79,1.29
aspirationsAndGoals,in love with ex-boyfriend,reconciles with ex-boyfriend,0.5,0.79,1.29
aspirationsAndGoals,own mansion,owns mansion,0.33,0.96,1.29
aspirationsAndGoals,does not want job,does not want to work,0.5,0.79,1.29
aspirationsAndGoals,wants to live in another country,wants to live in city,0.57,0.72,1.29
aspirationsAndGoals,traveling to Europe,trip to Europe,0.5,0.79,1.29
aspirationsAndGoals,wants to be cool,wants to be desired,0.6,0.69,1.29
aspirationsAndGoals,wants to be famous,wants to be tiger,0.6,0.69,1.29
aspirationsAndGoals,wants to move,wants to travel,0.5,0.79,1.29
aspirationsAndGoals,write book,write ebook,0.33,0.95,1.29
aspirationsAndGoals,wants to be explorer,wants to be famous,0.6,0.68,1.28
aspirationsAndGoals,wants to be alone,wants to be veterinarian,0.6,0.68,1.28
aspirationsAndGoals,wants to be explorer,wants to be veterinarian,0.6,0.68,1.28
aspirationsAndGoals,eat grasshoppers,wants to eat grasshoppers,0.5,0.78,1.28
aspirationsAndGoals,get married,married,0.5,0.78,1.28
aspirationsAndGoals,wants to live in another country,wants to live in space,0.57,0.7,1.28
aspirationsAndGoals,wants to be alone,wants to belong,0.4,0.88,1.27
aspirationsAndGoals,travel the world,travel the world for photography,0.6,0.67,1.27
aspirationsAndGoals,wants to be journalist,wants to be tiger,0.6,0.67,1.27
aspirationsAndGoals,travel the world for photography,travel the world taking photographs,0.43,0.84,1.26
aspirationsAndGoals,wants to live in fantasy world,wants to live in space,0.57,0.69,1.26
aspirationsAndGoals,become English teacher,become music teacher,0.5,0.76,1.26
aspirationsAndGoals,become teacher,wants to become teacher,0.5,0.76,1.26
aspirationsAndGoals,wants to be the best,wants to be tiger,0.5,0.76,1.26
aspirationsAndGoals,become famous actor,become famous photographer,0.5,0.76,1.26
aspirationsAndGoals,does not want to have a job,does not want to work,0.5,0.75,1.25
aspirationsAndGoals,wants to live in Iceland,wants to live in another country,0.57,0.68,1.25
aspirationsAndGoals,become doctor,wants to become doctor,0.5,0.74,1.24
aspirationsAndGoals,looking for love,looking for partner,0.5,0.74,1.24
aspirationsAndGoals,believes in fairytales,believes in love,0.5,0.74,1.24
aspirationsAndGoals,wants to be alone,wants to be an animal,0.5,0.74,1.24
aspirationsAndGoals,wants to be taller,wants to be the best,0.5,0.74,1.24
aspirationsAndGoals,wants to be astronaut,wants to be explorer,0.6,0.63,1.23
aspirationsAndGoals,wants to be desired,wants to be journalist,0.6,0.63,1.23
aspirationsAndGoals,wants to belong,wants to travel,0.5,0.73,1.23
aspirationsAndGoals,open restaurant,own restaurant,0.33,0.9,1.23
aspirationsAndGoals,does not want a job,does not want to work,0.43,0.8,1.23
aspirationsAndGoals,travel the world,travel the world taking photographs,0.6,0.63,1.23
aspirationsAndGoals,be in band,play in band,0.5,0.73,1.23
aspirationsAndGoals,become a mother,become a superhero,0.5,0.73,1.23
aspirationsAndGoals,wants to be explorer,wants to be journalist,0.6,0.62,1.22
aspirationsAndGoals,wants to be famous,wants to be veterinarian,0.6,0.62,1.22
aspirationsAndGoals,wants to be an animal,wants to be famous,0.5,0.72,1.22
aspirationsAndGoals,wants to be an animal,wants to be taller,0.5,0.72,1.22
aspirationsAndGoals,wants to be desired,wants to be the best,0.5,0.72,1.22
aspirationsAndGoals,wants to be an animal,wants to be astronaut,0.5,0.71,1.21
aspirationsAndGoals,wants to belong,wants to move,0.5,0.71,1.21
aspirationsAndGoals,become actor,become author,0.33,0.88,1.21
aspirationsAndGoals,become actor,become doctor,0.33,0.88,1.21
aspirationsAndGoals,wants to be desired,wants to be movie director,0.5,0.71,1.21
aspirationsAndGoals,travel to Europe,travel to Japan,0.5,0.71,1.21
aspirationsAndGoals,dominate the world,travel the world,0.5,0.71,1.21
aspirationsAndGoals,looking for job,looking for partner,0.5,0.71,1.21
aspirationsAndGoals,wants to be alone,wants to be the best,0.5,0.7,1.2
aspirationsAndGoals,wants to be an animal,wants to be cool,0.5,0.7,1.2
aspirationsAndGoals,wants to be cool,wants to be veterinarian,0.6,0.6,1.2
aspirationsAndGoals,wants to be explorer,wants to be the best,0.5,0.7,1.2
aspirationsAndGoals,wants to be an animal,wants to be journalist,0.5,0.7,1.2
aspirationsAndGoals,wants to be movie director,wants to be tiger,0.5,0.7,1.2
aspirationsAndGoals,save money for college,save money for medical procedures,0.5,0.69,1.19
aspirationsAndGoals,dominate the world,heal the world,0.5,0.69,1.19
aspirationsAndGoals,become doctor,studying to become doctor,0.5,0.68,1.18
aspirationsAndGoals,wants to be an animal,wants to be tiger,0.5,0.68,1.18
aspirationsAndGoals,wants to be famous,wants to be the best,0.5,0.68,1.18
aspirationsAndGoals,wants to be astronaut,wants to be the best,0.5,0.68,1.18
aspirationsAndGoals,wants to be alone sometimes,wants to be tiger,0.5,0.68,1.18
aspirationsAndGoals,wants to be famous,wants to be museum curator,0.5,0.68,1.18
aspirationsAndGoals,become famous actress,become famous photographer,0.5,0.68,1.18
aspirationsAndGoals,believes in love,believes in love at first sight,0.5,0.68,1.18
aspirationsAndGoals,get married,getting married,0.33,0.85,1.18
aspirationsAndGoals,become a music teacher after retirement,become music teacher,0.5,0.68,1.18
aspirationsAndGoals,wants to live in another country,wants to live in fantasy world,0.5,0.68,1.18
aspirationsAndGoals,become vegetarian,become veterinarian,0.33,0.83,1.17
aspirationsAndGoals,become a genius,become a mother,0.5,0.67,1.17
aspirationsAndGoals,business education,education,0.5,0.67,1.17
aspirationsAndGoals,get botox,plans to get botox,0.5,0.67,1.17
aspirationsAndGoals,move,move out,0.5,0.67,1.17
aspirationsAndGoals,recycling,supports recycling,0.5,0.67,1.17
aspirationsAndGoals,retire in Florida,retire in hawaii,0.5,0.67,1.17
aspirationsAndGoals,wants to be alone sometimes,wants to be astronaut,0.5,0.67,1.17
aspirationsAndGoals,wants to be alone sometimes,wants to be famous,0.5,0.67,1.17
aspirationsAndGoals,wants to be alone sometimes,wants to be taller,0.5,0.67,1.17
aspirationsAndGoals,wants to be cool,wants to be movie director,0.5,0.67,1.17
aspirationsAndGoals,wants to be cool,wants to be museum curator,0.5,0.67,1.17
aspirationsAndGoals,wants to be cool,wants to be the best,0.5,0.67,1.17
aspirationsAndGoals,wants to be journalist,wants to be museum curator,0.5,0.67,1.17
aspirationsAndGoals,wants to be journalist,wants to be the best,0.5,0.67,1.17
aspirationsAndGoals,become vegan,become vegetarian,0.33,0.83,1.16
aspirationsAndGoals,wants to be alone sometimes,wants to be journalist,0.5,0.65,1.15
aspirationsAndGoals,wants to be explorer,wants to be movie director,0.5,0.65,1.15
aspirationsAndGoals,wants to be explorer,wants to be museum curator,0.5,0.65,1.15
aspirationsAndGoals,wants to be alone,wants to be movie director,0.5,0.65,1.15
aspirationsAndGoals,wants to be alone,wants to be museum curator,0.5,0.65,1.15
aspirationsAndGoals,wants to be museum curator,wants to be tiger,0.5,0.65,1.15
aspirationsAndGoals,wants to be an animal,wants to be desired,0.5,0.65,1.15
aspirationsAndGoals,become artist,become dentist,0.33,0.81,1.15
aspirationsAndGoals,become mother,become teacher,0.33,0.81,1.15
aspirationsAndGoals,move to Australia,move to desert,0.5,0.65,1.15
aspirationsAndGoals,believes in love,fall in love,0.5,0.64,1.14
aspirationsAndGoals,live in Iceland,live in dorms,0.5,0.64,1.14
aspirationsAndGoals,move to London,move to desert,0.5,0.64,1.14
aspirationsAndGoals,wants to be museum curator,wants to be veterinarian,0.5,0.64,1.14
aspirationsAndGoals,wants to be alone sometimes,wants to be explorer,0.5,0.64,1.14
aspirationsAndGoals,wants to be astronaut,wants to be museum curator,0.5,0.64,1.14
aspirationsAndGoals,getting married,married,0.5,0.64,1.14
aspirationsAndGoals,wants to be famous,wants to be movie director,0.5,0.64,1.14
aspirationsAndGoals,wants to be movie director,wants to be taller,0.5,0.64,1.14
aspirationsAndGoals,wants to be museum curator,wants to be taller,0.5,0.64,1.14
aspirationsAndGoals,wants to be the best,wants to be veterinarian,0.5,0.64,1.14
aspirationsAndGoals,wants to be an animal,wants to be explorer,0.5,0.63,1.13
aspirationsAndGoals,aspiring singer,aspiring writer,0.33,0.8,1.13
aspirationsAndGoals,own truck,wants truck,0.33,0.8,1.13
aspirationsAndGoals,want to be noticed,wants to be tiger,0.33,0.8,1.13
aspirationsAndGoals,earn money easily,earn more money,0.5,0.62,1.12
aspirationsAndGoals,save money,save money for college,0.5,0.62,1.12
aspirationsAndGoals,wants to be journalist,wants to be movie director,0.5,0.62,1.12
aspirationsAndGoals,wants to be an animal,wants to be veterinarian,0.5,0.62,1.12
aspirationsAndGoals,wants to be desired,wants to be museum curator,0.5,0.62,1.12
aspirationsAndGoals,does not want to disappoint loved ones,does not want to work,0.5,0.61,1.11
aspirationsAndGoals,be cool,wants to be cool,0.5,0.61,1.11
aspirationsAndGoals,become elementary school teacher,become teacher,0.5,0.61,1.11
aspirationsAndGoals,become special education teacher,become teacher,0.5,0.61,1.11
aspirationsAndGoals,wants to be alone sometimes,wants to be desired,0.5,0.61,1.11
aspirationsAndGoals,become a genius,become a superhero,0.5,0.61,1.11
aspirationsAndGoals,wants to be alone sometimes,wants to be cool,0.5,0.6,1.1
aspirationsAndGoals,wants to be movie director,wants to be veterinarian,0.5,0.6,1.1
aspirationsAndGoals,wants to be astronaut,wants to be movie director,0.5,0.6,1.1
aspirationsAndGoals,does not want to inherit family business,does not want to work,0.5,0.59,1.09
aspirationsAndGoals,wants to be alone sometimes,wants to be veterinarian,0.5,0.59,1.09
aspirationsAndGoals,find a job,find a partner,0.5,0.58,1.08
aspirationsAndGoals,move to Australia,move to London,0.5,0.58,1.08
aspirationsAndGoals,eat grasshoppers,try eating grasshoppers,0.25,0.82,1.07
aspirationsAndGoals,open bakery,open bakery after retirement,0.5,0.56,1.06
aspirationsAndGoals,go to Mars,go to college,0.5,0.52,1.02
aspirationsAndGoals,go to Paris,go to college,0.5,0.5,1.0
aspirationsAndGoals,teach,teach kindergarten,0.5,0.43,0.93
aspirationsAndGoals,travel to Japan,wants to travel,0.5,0.4,0.9
aspirationsAndGoals,travel to Europe,wants to travel,0.5,0.39,0.89
aspirationsAndGoals,move to London,wants to move,0.5,0.3,0.8
aspirationsAndGoals,move to desert,wants to move,0.5,0.3,0.8
aspirationsAndGoals,move to Australia,wants to move,0.5,0.27,0.77
familyRelationships,brother-in-law who runs Hollywood studio,has brother-in-law who runs Hollywood studio,0.88,0.95,1.83
familyRelationships,brother-in-law runs Hollywood studio,brother-in-law who runs Hollywood studio,0.86,0.95,1.8
familyRelationships,ex-girlfriend eloped with best friend,girlfriend eloped with best friend,0.83,0.96,1.79
familyRelationships,has parents over 100 years old,parents over 100 years old,0.83,0.93,1.76
familyRelationships,father is a police officer,father is police officer,0.8,0.96,1.76
familyRelationships,married high school sweetheart,married to high school sweetheart,0.8,0.95,1.75
familyRelationships,father is retired police officer,father retired police officer,0.8,0.95,1.75
familyRelationships,has older brother in trouble,older brother in trouble,0.8,0.92,1.72
familyRelationships,has nieces and nephews,has ten nieces and nephews,0.8,0.92,1.72
familyRelationships,father is a mechanic,father is mechanic,0.75,0.95,1.7
familyRelationships,mother was a teacher,mother was teacher,0.75,0.95,1.7
familyRelationships,oldest of 5 siblings,oldest of siblings,0.75,0.95,1.7
familyRelationships,mother is a teacher,mother is teacher,0.75,0.94,1.69
familyRelationships,father college professor,father is college professor,0.75,0.94,1.69
familyRelationships,mother is school music teacher,mother is school teacher,0.8,0.89,1.69
familyRelationships,mother is retired teacher,mother retired teacher,0.75,0.94,1.69
familyRelationships,wife college professor,wife is college professor,0.75,0.94,1.69
familyRelationships,mother is elementary school music teacher,mother is school music teacher,0.83,0.85,1.68
familyRelationships,mother was Sunday school teacher,mother was school teacher,0.8,0.88,1.68
familyRelationships,mother is Sunday school teacher,mother is school teacher,0.8,0.87,1.67
familyRelationships,best friend in Japan,best friend lives in Japan,0.8,0.87,1.67
familyRelationships,mother is music teacher,mother is school music teacher,0.8,0.87,1.67
familyRelationships,mother concert pianist,mother was concert pianist,0.75,0.92,1.67
familyRelationships,father is police officer,father is retired police officer,0.8,0.86,1.66
familyRelationships,best friend Abigail,has best friend Abigail,0.75,0.9,1.65
familyRelationships,mother of daughters,mother of two daughters,0.75,0.9,1.65
familyRelationships,boyfriend in Italy,has boyfriend in Italy,0.75,0.9,1.65
familyRelationships,brother-in-law runs Hollywood studio,has brother-in-law who runs Hollywood studio,0.75,0.9,1.65
familyRelationships,father in military,father was in military,0.75,0.9,1.65
familyRelationships,boyfriend in army,has boyfriend in army,0.75,0.89,1.64
familyRelationships,parents in Kentucky,parents live in Kentucky,0.75,0.88,1.63
familyRelationships,brother in army,has brother in army,0.75,0.88,1.63
familyRelationships,has best friend,has best friend mom,0.75,0.88,1.63
